"extraction_ID","alternative_ID","collection_year","collection_month","collection_day","location1","depth","longitude","latitude"
"e03351","NW2301_2_10_1",2023,8,30,"2","10",-168.963,60
"e03352","NW2301_2_10_2",2023,8,30,"2","10",-168.963,60
"e03353","NW2301_2_10_3",2023,8,30,"2","10",-168.963,60
"e03354","NW2301_3_10_1",2023,8,30,"3","10",-169.953,60.0022
"e03355","NW2301_3_10_2",2023,8,30,"3","10",-169.953,60.0022
"e03356","NW2301_3_10_3",2023,8,30,"3","10",-169.953,60.0022
"e03358","NW2301_4_10_1",2023,8,31,"4","10",-171.013,60.0016
"e03359","NW2301_4_10_2",2023,8,31,"4","10",-171.013,60.0016
"e03360","NW2301_4_10_3",2023,8,31,"4","10",-171.013,60.0016
"e03361","NW2301_4_60_1",2023,8,31,"4","60",-171.013,60.0016
"e03362","NW2301_4_60_2",2023,8,31,"4","60",-171.013,60.0016
"e03363","NW2301_4_60_3",2023,8,31,"4","60",-171.013,60.0016
"e03364","NW2301_5_10_1",2023,8,31,"5","10",-170.99,60.49
"e03365","NW2301_5_10_2",2023,8,31,"5","10",-170.99,60.49
"e03366","NW2301_5_10_3",2023,8,31,"5","10",-170.99,60.49
"e03367","NW2301_5_50_1",2023,8,31,"5","50",-170.99,60.49
"e03368","NW2301_5_50_2",2023,8,31,"5","50",-170.99,60.49
"e03369","NW2301_5_50_3",2023,8,31,"5","50",-170.99,60.49
"e03370","NW2301_6_10_1",2023,8,31,"6","10",-170.005,60.5008
"e03371","NW2301_6_10_2",2023,8,31,"6","10",-170.005,60.5008
"e03372","NW2301_6_10_3",2023,8,31,"6","10",-170.005,60.5008
"e03374","NW2301_7_10_1",2023,9,1,"7","10",-169.007,60.4941
"e03375","NW2301_7_10_2",2023,9,1,"7","10",-169.007,60.4941
"e03376","NW2301_7_10_3",2023,9,1,"7","10",-169.007,60.4941
"e03377","NW2301_8_10_1",2023,9,1,"8","10",-168.017,60.4988
"e03378","NW2301_8_10_2",2023,9,1,"8","10",-168.017,60.4988
"e03379","NW2301_8_10_3",2023,9,1,"8","10",-168.017,60.4988
"e03381","NW2301_9_10_1",2023,9,1,"9","10",-167.032,60.4961
"e03382","NW2301_9_10_2",2023,9,1,"9","10",-167.032,60.4961
"e03383","NW2301_9_10_3",2023,9,1,"9","10",-167.032,60.4961
"e03384","NW2301_10_10_1",2023,9,2,"10","10",-166.986,60.9987
"e03385","NW2301_10_10_2",2023,9,2,"10","10",-166.986,60.9987
"e03386","NW2301_10_10_3",2023,9,2,"10","10",-166.986,60.9987
