extraction_ID,collection_year,project,sample_type,extraction_plate,extraction_well,sample_ID,sample_replicate,sample_ID_date,seq_date,amplicon,pcr_personnel,pcr_mastermix,amplicon_pcr_dilutution,normalization,bead_size_selection
e03351,2023,NBS,sample,32_2024,A1,e03351_A,A,e03351_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03352,2023,NBS,sample,32_2024,B1,e03352_A,A,e03352_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03353,2023,NBS,sample,32_2024,C1,e03353_A,A,e03353_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03354,2023,NBS,sample,32_2024,D1,e03354_A,A,e03354_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03355,2023,NBS,sample,32_2024,E1,e03355_A,A,e03355_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03356,2023,NBS,sample,32_2024,F1,e03356_A,A,e03356_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03357,2023,NBS,field_blank,32_2024,G1,e03357_A,A,e03357_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03358,2023,NBS,sample,32_2024,H1,e03358_A,A,e03358_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
NC_1,2023,NBS,pcr_blank,NA,NA,NC_1_A,A,NC_1_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03359,2023,NBS,sample,32_2024,B2,e03359_A,A,e03359_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03360,2023,NBS,sample,32_2024,C2,e03360_A,A,e03360_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03361,2023,NBS,sample,32_2024,D2,e03361_A,A,e03361_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03362,2023,NBS,sample,32_2024,E2,e03362_A,A,e03362_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03363,2023,NBS,sample,32_2024,F2,e03363_A,A,e03363_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03364,2023,NBS,sample,32_2024,G2,e03364_A,A,e03364_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03365,2023,NBS,sample,32_2024,H2,e03365_A,A,e03365_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03366,2023,NBS,sample,32_2024,A3,e03366_A,A,e03366_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03367,2023,NBS,sample,32_2024,B3,e03367_A,A,e03367_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03368,2023,NBS,sample,32_2024,C3,e03368_A,A,e03368_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03369,2023,NBS,sample,32_2024,D3,e03369_A,A,e03369_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03370,2023,NBS,sample,32_2024,E3,e03370_A,A,e03370_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03371,2023,NBS,sample,32_2024,F3,e03371_A,A,e03371_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03372,2023,NBS,sample,32_2024,G3,e03372_A,A,e03372_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
NC_2,2023,NBS,pcr_blank,NA,NA,NC_2_A,A,NC_2_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03373,2023,NBS,field_blank,32_2024,A4,e03373_A,A,e03373_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03374,2023,NBS,sample,32_2024,B4,e03374_A,A,e03374_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03375,2023,NBS,sample,32_2024,C4,e03375_A,A,e03375_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
e03376,2023,NBS,sample,32_2024,D4,e03376_A,A,e03376_A_20240509,20240509,12S MiFish,Julianna Cornett,Qiagen Multiplex Plus,no,yes,1st: 1.8x left
