sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e03351-A-20240509	e03351-A-20240509	1	e03351-A_S1_L001_R1_001.fastq.gz	e03351-A_S1_L001_R2_001.fastq.gz	34709	34709	34236	34236	28978	28978	27197	26966	26966
e03351-B-20240509	e03351-B-20240509	1	e03351-B_S97_L001_R1_001.fastq.gz	e03351-B_S97_L001_R2_001.fastq.gz	18204	18204	17950	17950	14327	14327	13666	13569	13569
e03351-C-20240509	e03351-C-20240509	1	e03351-C_S193_L001_R1_001.fastq.gz	e03351-C_S193_L001_R2_001.fastq.gz	26989	26989	26599	26599	17907	17907	17616	17456	17456
e03352-A-20240509	e03352-A-20240509	1	e03352-A_S2_L001_R1_001.fastq.gz	e03352-A_S2_L001_R2_001.fastq.gz	14029	14029	13818	13818	13764	13764	13513	13432	13432
e03352-B-20240509	e03352-B-20240509	1	e03352-B_S98_L001_R1_001.fastq.gz	e03352-B_S98_L001_R2_001.fastq.gz	30125	30125	29710	29710	29590	29590	28542	28305	28305
e03352-C-20240509	e03352-C-20240509	1	e03352-C_S194_L001_R1_001.fastq.gz	e03352-C_S194_L001_R2_001.fastq.gz	25134	25134	24824	24824	24625	24625	24061	23830	23830
e03353-A-20240509	e03353-A-20240509	1	e03353-A_S3_L001_R1_001.fastq.gz	e03353-A_S3_L001_R2_001.fastq.gz	21525	21525	21222	21222	21130	21130	20513	20142	20142
e03353-B-20240509	e03353-B-20240509	1	e03353-B_S99_L001_R1_001.fastq.gz	e03353-B_S99_L001_R2_001.fastq.gz	27272	27272	26887	26887	26719	26719	26043	25313	25313
e03353-C-20240509	e03353-C-20240509	1	e03353-C_S195_L001_R1_001.fastq.gz	e03353-C_S195_L001_R2_001.fastq.gz	25450	25450	25088	25088	21375	21375	20968	20753	20753
e03354-A-20240509	e03354-A-20240509	1	e03354-A_S4_L001_R1_001.fastq.gz	e03354-A_S4_L001_R2_001.fastq.gz	15625	15625	15433	15433	15143	15143	14859	14809	14809
e03354-B-20240509	e03354-B-20240509	1	e03354-B_S100_L001_R1_001.fastq.gz	e03354-B_S100_L001_R2_001.fastq.gz	27534	27534	27124	27124	27015	27015	25653	25489	25489
e03354-C-20240509	e03354-C-20240509	1	e03354-C_S196_L001_R1_001.fastq.gz	e03354-C_S196_L001_R2_001.fastq.gz	29447	29447	29056	29056	14305	14305	13773	13760	13760
e03355-A-20240509	e03355-A-20240509	1	e03355-A_S5_L001_R1_001.fastq.gz	e03355-A_S5_L001_R2_001.fastq.gz	20911	20911	20575	20575	20477	20477	20150	19182	19181
e03355-B-20240509	e03355-B-20240509	1	e03355-B_S101_L001_R1_001.fastq.gz	e03355-B_S101_L001_R2_001.fastq.gz	30818	30818	30378	30378	30305	30305	29826	29501	29501
e03355-C-20240509	e03355-C-20240509	1	e03355-C_S197_L001_R1_001.fastq.gz	e03355-C_S197_L001_R2_001.fastq.gz	34016	34016	33534	33534	32683	32683	32152	31036	31036
e03356-A-20240509	e03356-A-20240509	1	e03356-A_S6_L001_R1_001.fastq.gz	e03356-A_S6_L001_R2_001.fastq.gz	15523	15523	15278	15278	13487	13487	11874	11687	11687
e03356-B-20240509	e03356-B-20240509	1	e03356-B_S102_L001_R1_001.fastq.gz	e03356-B_S102_L001_R2_001.fastq.gz	27312	27312	26884	26884	24605	24605	24302	23761	23759
e03356-C-20240509	e03356-C-20240509	1	e03356-C_S198_L001_R1_001.fastq.gz	e03356-C_S198_L001_R2_001.fastq.gz	27203	27203	26796	26796	25360	25360	24699	24387	24387
e03357-A-20240509	e03357-A-20240509	1	e03357-A_S7_L001_R1_001.fastq.gz	e03357-A_S7_L001_R2_001.fastq.gz	244	244	238	238	69	69	48	48	48
e03357-B-20240509	e03357-B-20240509	1	e03357-B_S103_L001_R1_001.fastq.gz	e03357-B_S103_L001_R2_001.fastq.gz	73	73	73	73	68	68	31	31	31
e03357-C-20240509	e03357-C-20240509	1	e03357-C_S199_L001_R1_001.fastq.gz	e03357-C_S199_L001_R2_001.fastq.gz	24733	24733	24385	24385	24232	24232	23912	23912	23912
e03358-A-20240509	e03358-A-20240509	1	e03358-A_S8_L001_R1_001.fastq.gz	e03358-A_S8_L001_R2_001.fastq.gz	15335	15335	15117	15117	15054	15054	14754	14600	14600
e03358-B-20240509	e03358-B-20240509	1	e03358-B_S104_L001_R1_001.fastq.gz	e03358-B_S104_L001_R2_001.fastq.gz	15900	15900	15645	15645	15568	15568	15027	14745	14745
e03358-C-20240509	e03358-C-20240509	1	e03358-C_S200_L001_R1_001.fastq.gz	e03358-C_S200_L001_R2_001.fastq.gz	15052	15052	14869	14869	4628	4628	4116	4098	4098
e03359-A-20240509	e03359-A-20240509	1	e03359-A_S10_L001_R1_001.fastq.gz	e03359-A_S10_L001_R2_001.fastq.gz	25436	25436	25079	25079	24992	24992	24255	23973	23973
e03359-B-20240509	e03359-B-20240509	1	e03359-B_S106_L001_R1_001.fastq.gz	e03359-B_S106_L001_R2_001.fastq.gz	29655	29655	29258	29258	29130	29130	27949	27346	27346
e03359-C-20240509	e03359-C-20240509	1	e03359-C_S202_L001_R1_001.fastq.gz	e03359-C_S202_L001_R2_001.fastq.gz	30292	30292	29863	29863	29342	29342	28429	27934	27934
e03360-A-20240509	e03360-A-20240509	1	e03360-A_S11_L001_R1_001.fastq.gz	e03360-A_S11_L001_R2_001.fastq.gz	40081	40081	39572	39572	39413	39413	38026	37503	37500
e03360-B-20240509	e03360-B-20240509	1	e03360-B_S107_L001_R1_001.fastq.gz	e03360-B_S107_L001_R2_001.fastq.gz	35987	35987	35544	35544	25579	25579	24504	22087	22087
e03360-C-20240509	e03360-C-20240509	1	e03360-C_S203_L001_R1_001.fastq.gz	e03360-C_S203_L001_R2_001.fastq.gz	37070	37070	36569	36569	26427	26427	25844	25480	25480
e03361-A-20240509	e03361-A-20240509	1	e03361-A_S12_L001_R1_001.fastq.gz	e03361-A_S12_L001_R2_001.fastq.gz	37409	37409	36876	36876	36738	36738	36012	34934	34934
e03361-B-20240509	e03361-B-20240509	1	e03361-B_S108_L001_R1_001.fastq.gz	e03361-B_S108_L001_R2_001.fastq.gz	32151	32151	31700	31700	31593	31593	30563	30353	30353
e03361-C-20240509	e03361-C-20240509	1	e03361-C_S204_L001_R1_001.fastq.gz	e03361-C_S204_L001_R2_001.fastq.gz	35706	35706	35221	35221	32364	32364	31814	31557	31557
e03362-A-20240509	e03362-A-20240509	1	e03362-A_S13_L001_R1_001.fastq.gz	e03362-A_S13_L001_R2_001.fastq.gz	38074	38074	37518	37518	37405	37405	36723	36067	36065
e03362-B-20240509	e03362-B-20240509	1	e03362-B_S109_L001_R1_001.fastq.gz	e03362-B_S109_L001_R2_001.fastq.gz	35635	35635	35076	35076	34951	34951	34172	33549	33549
e03362-C-20240509	e03362-C-20240509	1	e03362-C_S205_L001_R1_001.fastq.gz	e03362-C_S205_L001_R2_001.fastq.gz	40297	40297	39750	39750	39630	39630	39119	38713	38708
e03363-A-20240509	e03363-A-20240509	1	e03363-A_S14_L001_R1_001.fastq.gz	e03363-A_S14_L001_R2_001.fastq.gz	38040	38040	37461	37461	37338	37338	36772	35844	35844
e03363-B-20240509	e03363-B-20240509	1	e03363-B_S110_L001_R1_001.fastq.gz	e03363-B_S110_L001_R2_001.fastq.gz	36833	36833	36266	36266	36146	36146	35510	34624	34624
e03363-C-20240509	e03363-C-20240509	1	e03363-C_S206_L001_R1_001.fastq.gz	e03363-C_S206_L001_R2_001.fastq.gz	42297	42297	41661	41661	41550	41550	40875	39706	39706
e03364-A-20240509	e03364-A-20240509	1	e03364-A_S15_L001_R1_001.fastq.gz	e03364-A_S15_L001_R2_001.fastq.gz	37279	37279	36772	36772	36606	36606	35766	35462	35460
e03364-B-20240509	e03364-B-20240509	1	e03364-B_S111_L001_R1_001.fastq.gz	e03364-B_S111_L001_R2_001.fastq.gz	35983	35983	35474	35474	35315	35315	33875	33511	33509
e03364-C-20240509	e03364-C-20240509	1	e03364-C_S207_L001_R1_001.fastq.gz	e03364-C_S207_L001_R2_001.fastq.gz	23209	23209	22898	22898	22821	22821	22430	22086	22086
e03365-A-20240509	e03365-A-20240509	1	e03365-A_S16_L001_R1_001.fastq.gz	e03365-A_S16_L001_R2_001.fastq.gz	16742	16742	16526	16526	16433	16433	15761	15443	15443
e03365-B-20240509	e03365-B-20240509	1	e03365-B_S112_L001_R1_001.fastq.gz	e03365-B_S112_L001_R2_001.fastq.gz	15883	15883	15647	15647	15559	15559	15110	14838	14838
e03365-C-20240509	e03365-C-20240509	1	e03365-C_S208_L001_R1_001.fastq.gz	e03365-C_S208_L001_R2_001.fastq.gz	16400	16400	16146	16146	16043	16043	15588	15346	15346
e03366-A-20240509	e03366-A-20240509	1	e03366-A_S17_L001_R1_001.fastq.gz	e03366-A_S17_L001_R2_001.fastq.gz	37912	37912	37377	37377	37257	37257	36298	36047	36046
e03366-B-20240509	e03366-B-20240509	1	e03366-B_S113_L001_R1_001.fastq.gz	e03366-B_S113_L001_R2_001.fastq.gz	17336	17336	17106	17106	16657	16657	16308	16227	16227
e03366-C-20240509	e03366-C-20240509	1	e03366-C_S209_L001_R1_001.fastq.gz	e03366-C_S209_L001_R2_001.fastq.gz	27940	27940	27594	27594	27521	27521	27094	26953	26953
e03367-A-20240509	e03367-A-20240509	1	e03367-A_S18_L001_R1_001.fastq.gz	e03367-A_S18_L001_R2_001.fastq.gz	34782	34782	34339	34339	34182	34182	33009	32604	32604
e03367-B-20240509	e03367-B-20240509	1	e03367-B_S114_L001_R1_001.fastq.gz	e03367-B_S114_L001_R2_001.fastq.gz	31023	31023	30619	30619	30457	30457	29353	28649	28649
e03367-C-20240509	e03367-C-20240509	1	e03367-C_S210_L001_R1_001.fastq.gz	e03367-C_S210_L001_R2_001.fastq.gz	32875	32875	32471	32471	32366	32366	31739	30973	30973
e03368-A-20240509	e03368-A-20240509	1	e03368-A_S19_L001_R1_001.fastq.gz	e03368-A_S19_L001_R2_001.fastq.gz	30669	30669	30275	30275	29781	29781	27665	27324	27324
e03368-B-20240509	e03368-B-20240509	1	e03368-B_S115_L001_R1_001.fastq.gz	e03368-B_S115_L001_R2_001.fastq.gz	26922	26922	26547	26547	25786	25786	24742	24358	24358
e03368-C-20240509	e03368-C-20240509	1	e03368-C_S211_L001_R1_001.fastq.gz	e03368-C_S211_L001_R2_001.fastq.gz	25463	25463	25122	25122	8901	8901	8689	8497	8497
e03369-A-20240509	e03369-A-20240509	1	e03369-A_S20_L001_R1_001.fastq.gz	e03369-A_S20_L001_R2_001.fastq.gz	28957	28957	28550	28550	28462	28462	27370	27094	27094
e03369-B-20240509	e03369-B-20240509	1	e03369-B_S116_L001_R1_001.fastq.gz	e03369-B_S116_L001_R2_001.fastq.gz	27360	27360	26967	26967	26849	26849	25381	24910	24910
e03369-C-20240509	e03369-C-20240509	1	e03369-C_S212_L001_R1_001.fastq.gz	e03369-C_S212_L001_R2_001.fastq.gz	25232	25232	24931	24931	23657	23657	22590	22337	22337
e03370-A-20240509	e03370-A-20240509	1	e03370-A_S21_L001_R1_001.fastq.gz	e03370-A_S21_L001_R2_001.fastq.gz	34084	34084	33600	33600	33461	33461	32073	31398	31398
e03370-B-20240509	e03370-B-20240509	1	e03370-B_S117_L001_R1_001.fastq.gz	e03370-B_S117_L001_R2_001.fastq.gz	33600	33600	33148	33148	33019	33019	30886	30602	30602
e03370-C-20240509	e03370-C-20240509	1	e03370-C_S213_L001_R1_001.fastq.gz	e03370-C_S213_L001_R2_001.fastq.gz	36536	36536	36021	36021	35921	35921	34675	34357	34357
e03371-A-20240509	e03371-A-20240509	1	e03371-A_S22_L001_R1_001.fastq.gz	e03371-A_S22_L001_R2_001.fastq.gz	27137	27137	26785	26785	26673	26673	25782	25404	25404
e03371-B-20240509	e03371-B-20240509	1	e03371-B_S118_L001_R1_001.fastq.gz	e03371-B_S118_L001_R2_001.fastq.gz	28901	28901	28451	28451	28293	28293	27157	26641	26640
