"","extraction_ID","alternative_ID","collection_year","collection_month","collection_day","location1","depth","longitude","latitude","sample_ID","replicate","sample_type","taxon","taxonomic_level","species","genus","family","order","class","kingdom","reads"
"1","e03351","NW2301_2_10_1",2023,8,30,2,10,-168.963,60,"e03351-A","A","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",18947
"2","e03351","NW2301_2_10_1",2023,8,30,2,10,-168.963,60,"e03351-A","A","sample","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",4927
"3","e03351","NW2301_2_10_1",2023,8,30,2,10,-168.963,60,"e03351-A","A","sample","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",3069
"4","e03351","NW2301_2_10_1",2023,8,30,2,10,-168.963,60,"e03351-B","B","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",10012
"5","e03351","NW2301_2_10_1",2023,8,30,2,10,-168.963,60,"e03351-B","B","sample","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",3544
"6","e03351","NW2301_2_10_1",2023,8,30,2,10,-168.963,60,"e03351-B","B","sample","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",2
"7","e03351","NW2301_2_10_1",2023,8,30,2,10,-168.963,60,"e03351-C","C","sample","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",6
"8","e03351","NW2301_2_10_1",2023,8,30,2,10,-168.963,60,"e03351-C","C","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",10796
"9","e03351","NW2301_2_10_1",2023,8,30,2,10,-168.963,60,"e03351-C","C","sample","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",4229
"10","e03351","NW2301_2_10_1",2023,8,30,2,10,-168.963,60,"e03351-C","C","sample","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",2409
"11","e03352","NW2301_2_10_2",2023,8,30,2,10,-168.963,60,"e03352-A","A","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",10201
"12","e03352","NW2301_2_10_2",2023,8,30,2,10,-168.963,60,"e03352-A","A","sample","Oncorhynchus","genus",NA,"Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",1487
"13","e03352","NW2301_2_10_2",2023,8,30,2,10,-168.963,60,"e03352-A","A","sample","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",49
"14","e03352","NW2301_2_10_2",2023,8,30,2,10,-168.963,60,"e03352-A","A","sample","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",1680
"15","e03352","NW2301_2_10_2",2023,8,30,2,10,-168.963,60,"e03352-B","B","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",15317
"16","e03352","NW2301_2_10_2",2023,8,30,2,10,-168.963,60,"e03352-B","B","sample","Oncorhynchus","genus",NA,"Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",2165
"17","e03352","NW2301_2_10_2",2023,8,30,2,10,-168.963,60,"e03352-B","B","sample","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",10778
"18","e03352","NW2301_2_10_2",2023,8,30,2,10,-168.963,60,"e03352-C","C","sample","Ammodytes personatus","species","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Eukaryota",3682
"19","e03352","NW2301_2_10_2",2023,8,30,2,10,-168.963,60,"e03352-C","C","sample","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",13
"20","e03352","NW2301_2_10_2",2023,8,30,2,10,-168.963,60,"e03352-C","C","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",15199
"21","e03352","NW2301_2_10_2",2023,8,30,2,10,-168.963,60,"e03352-C","C","sample","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",4928
"22","e03353","NW2301_2_10_3",2023,8,30,2,10,-168.963,60,"e03353-A","A","sample","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",1
"23","e03353","NW2301_2_10_3",2023,8,30,2,10,-168.963,60,"e03353-A","A","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",8768
"24","e03353","NW2301_2_10_3",2023,8,30,2,10,-168.963,60,"e03353-A","A","sample","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",3913
"25","e03353","NW2301_2_10_3",2023,8,30,2,10,-168.963,60,"e03353-A","A","sample","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",1782
"26","e03353","NW2301_2_10_3",2023,8,30,2,10,-168.963,60,"e03353-A","A","sample","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Eukaryota",5523
"27","e03353","NW2301_2_10_3",2023,8,30,2,10,-168.963,60,"e03353-B","B","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",14675
